
ID,Artista,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
1440,Pete Yorn,singer-songwriter,alternative,indie,acoustic,american,colors,folk,guys i would fuck,indie rock,male vocalists
1441,Suzanne Vega,alternative,female vocalists,singer-songwriter,pop,folk,80s,part of my whole life,lyrics,food,favorite artist
1442,Skye,trip-hop,chillout,female vocalists,<3,alsolike,electronic,electronica,favorite,launge,light trip-hop
1443,Dionne Bromfield,amazing,british,cute,english,female,female vocalists,happy,lovely,oldies,relaxing
1444,BarlowGirl,christian rock,adoracao,anointed,christian,diego,diego12,gospel,jesus,keep ya calm,preferidas
1445,Lenka,pop,indie pop,acoustic,feel-good,female vocalist,female vocalists,happy,i am in love with this song,singalong,sweet
1446,Courtney Love,alternative,punk,rock,female vocalists,grunge,alternative rock,female,female vocalist,gluhie 90e,guilty pleasure
1447,DJ Krush,trip-hop,electronic,downtempo,hip-hop,chillout,electronica,ninja tune,abstract hip-hop,headphones,instrumental hip-hop
1448,DJ Drez,alger,algeria,world groove,world fusion,world,tuareg,tanger,sousse,sahara,rabat
1449,Sébastien Tellier,electronic,french,electronica,ambient,dance,downtempo,house,lounge,oui fm,piano
1450,Flunk,trip-hop,downtempo,female vocalists,electronic,indie,chillout,electronica,alternative,dreamy,fascinating
1451,DJ Vadim,hip-hop,ninja tune,trip-hop,abstract hip-hop,chill,chillout,electronic,essential instrumental versions,heard on 30 jul 06 downtempo sampler radio,myfavoritesongs
1452,James Morrison,soul,pop,acoustic,singer-songwriter,british,male vocalists,rock,mellow,jazz,alternative
1453,Ivete Sangalo,axe,brazilian,brasil,bahia,pop,mpb,female vocalists,carnaval,brazil,dalila
1454,Kelly Key,basic pop,brasil,brazil,brazilian,euri,female vocalists,hooooooooot,indie,kelly key,made in brazil
1455,L'Âme Immortelle,darkwave,electronic,gothic,industrial,ebm,gothic metal,boring,electrogoth,female vocalists,futuremelon
1456,Vive la Fête,electronic,electroclash,electro,belgian,00s,indie,sex,seen live,remix,pop
1457,Terminal Choice,industrial,darkwave,german,ebm,electronic,futuremelon,gothic,pop,rave,terrorbanana
1458,Suicidal Romance,darkwave,ebm,boring,dance,dark electro,futuremelon,futurepop,goffpop,gothic,gothic rock
1459,Belanova,electropop,latin pop,<3,lpa,synth-pop,spanish,remember him,q sexy,puta de mierda ojala y te mueras con un pinche dildo electrico atorado en tu ronosa pucha,pop
1460,Theatre of Tragedy,gothic metal,metal,gothic,electronic,female fronted metal,female vocalists,norwegian,rock,their old stuff was good but they suck now,vocal
1461,Patrick Nuo,4m4zinq,amazing,catchy,f4nt4stic,fav male singers,favorite,favorite singer,hot,male,male vocalists
1462,Cansei de Ser Sexy,indie,electronic,brazilian,female vocalists,alternative,indie rock,electro-rock,brasil,pop,electroclash
1463,Kate Bush,female vocalists,80s,singer-songwriter,alternative,pop,british,experimental,piano,progressive rock,rock
1464,Mallu Magalhães,folk,indie,brazilian,singer-songwriter,female vocalists,acoustic,seen live,brasil,lo-fi,new folk
1465,The Bird and The Bee,female vocalists,indie pop,electronic,2010s,alternative,american,avant-garde,catchy,chillout,christmas
1466,Jon Brion,indie,soundtrack,alternative,eldad,favorites,folk,for work,ich liebe dich,indie pop,instrumental
1467,Michael Andrews,soundtrack,ambient,instrumental,alternative rock,avant-garde,creepy but amazing,dark ambient,experimental,film music composer,indie
1468,John Cage,avant-garde,avant garde,classical,contemporary classical,eldad,epic,experimental,first-rate and free,for work,nadacore
1469,Wu-Tang Clan,hip-hop,rap,hip hop,banger,urban,the good stuff,superb,raw,pioneer,new york shit
1470,The Moody Blues,classic rock,60s,progressive rock,rock,psychedelic,70s,90s,pop,british,favorite songs
1471,The Polyphonic Spree,alternative,american,best christmas songs,cover,electronic,experimental,future,indie pop,indie rock,my electro feelings
1472,Eths,metalcore,nu metal,metal,death metal,female fronted metal,female vocalists,beautiful female vocalist,french,gothic metal,hardcore
1473,Hey,rock,polish,seen live,alternative,female vocalists,alternative rock,grunge,hey,indie,indie rock
1474,Otep,nu metal,metal,female fronted metal,alternative,alternative metal,alternative rock,awesome covers,experimental,female vocalist,gothic metal
1475,Drowning Pool,nu metal,metal,alternative metal,hard rock,alternative,nu-metal,rock,drowning pool,heavy metal,metalcore
1476,Deathstars,industrial,industrial metal,metal,gothic metal,electronic,gothic,alternative metal,cover,cyber metal,dark
1477,Athlete,indie rock,alternative,indie,rock,alternative rock,british,britpop,gossip girl,happy,male vocalists
1478,The Shins,indie,indie rock,indie pop,alternative,rock,folk,acoustic,fave,dreamy,the shins
1479,Blonde Redhead,indie rock,indie,female vocalists,electronic,indie pop,alternative,cool,crap,songs ive obsessed over,shoegaze
1480,Woods,folk,psychedelic,lo-fi,ambient,chillout,dream pop,freak folk,indie folk,mellow,new weird america
1481,Marillion,progressive rock,rock,classic rock,progressive,80s,00's,new wave and eighties,voice lust,touching,soft rock
1482,The Ark,rock,swedish,alternative,glam rock,indie,indie rock,00s,2008,90s,alternative rock
1483,The Feeling,indie,british,indie pop,pop,2006,summer,soundtrack to my life,soft rock,singalong,rock
1484,Burnt Fur,alternative,burnt fur,covers,electronic,experimental,female vocalists,gothic,new order,new wave,paradise place
1485,ADULT.,electro,electroclash,electronic,electronica,indie,american,dark disco,deconstruction,electropunk,female vocalists
1486,The Jesus and Mary Chain,post-punk,shoegaze,rock,alternative,80s,scottish,seen live,noise,indie,alternative rock
1487,Cocteau Twins,shoegaze,dream pop,post-punk,alternative,indie,ethereal,female vocalists,80s,uk,post punk
1488,The B-52's,new wave,alternative,80s,pop,rock,post-punk,female vocalists,college rock,american,classic rock
1489,The Sundays,dream pop,alternative,1997,acoustic,bliss,british,college rock,cover,days,dreampop
1490,My Life with the Thrill Kill Kult,industrial,90s,97x,cars,ebm,energetic,favorite songs,hot,sex,soundtrack
1491,Annie,electronic,pop,female vocalists,dance,electropop,female,hot,indie pop,indietronica,melrose place
1492,Front 242,industrial,ebm,electronic,electronica,80s,90s,belgian,club,electro,energetic
1493,Cranes,dream pop,shoegaze,female vocalists,ethereal,indie,chillout,trip-hop,orgasmo,new wave,electronica
1494,The Glove,post-punk,new wave,the cure,british,male vocalists,synthpop,rock,psychedelic,new wave and eighties,70s
1495,Black Kids,indie pop,indie,indie rock,alternative,synth,seen live,rock,quirky,love at first listen,love
1496,The Sugarcubes,alternative,1992,fun,songs for gil,rock,riot grrrl,post-punk,indie rock,indie,icelandic
1497,The Fall,post-punk,punk,indie,indie rock,post punk,anti-folk,new wave,uk,the fall,skins soundtrack
1498,Robots in Disguise,electronic,british,electro,female vocalists,indie,uk,indietronica,dance,electroclash,alternative
1499,Phil Collins,80s,classic rock,pop,soft rock,rock,british,90s,new wave,mellow,soundtrack
1500,Barry White,soul,disco,funk,pop,rnb,70s,80s,best christmas songs,love,lovely
1501,Neil Diamond,pop,rock,70s,singer-songwriter,usa,soft rock,classic rock,duets,male vocalists,folk
1502,Supertramp,progressive rock,70s,classic rock,rock,80s,pop,rain,1982,british,hit
1503,The Jackson 5,70s,pop,funk,soul,motown,60s,sixties,seventies,rnb,quinsy johs
1504,Sean Paul,hip-hop,rap,dance,hip hop,reggae,top 40,sean paul,00s,r and b,summer song
1505,Drake,hip-hop,rnb,rap,hip hop,canadian,2010s,tyler adam,toronto,soul,sickness
1506,Trey Songz,hip-hop,male vocalists,rnb,urban,amazing,banger,catchy,crazy,dope cut,freestyle
1507,Diana Vickers,<3,british,electronic,ellie gouldin,folk,folktronic,future stars,indie,melrose place,pop
1508,Lee Ryan,male vocalists,ballad,rock,pop rock,pop,none,nice vocals,melancholic,love,beautiful
1509,Pete Yorn & Scarlett Johansson,<3,acoustic,catchy,chillout,duet,female vocalists,fun,indie rock,love at first listen,pop
1510,安室奈美恵,j-pop,female vocalists,namie amuro,jpop,dancing queen,epic,sexy,asian,rnb,pop
1511,HorrorPops,psychobilly,punk rock,female vocalists,halloween,punk,punk n roll,punkabilly,rock n roll,rockabilly,seen live
1512,Sandy e Junior,brazilian,pop,90s,brasil,brazilian pop,gay,pedro me da meu chip,pop rock,sandy e junior,soundtrack of my childhood
1513,The Distillers,punk,female vocalists,punk rock,rock,female vocalist,00s,love her voice,sexy lead singer,rock hard,orgasm
1514,Cap'n Jazz,indie,indie rock,best bands ever,emo,experimental,kinsella,love,math rock,messy,totalmente foda
1515,KESSENCHU,cyber-grind,cyber-punk,digital hardcore,digital-grindcore,digital-punk,faggot,fl band,gabber punk,lolicore,noise
1516,Black Flag,hardcore punk,punk,80s,80s hardcore,california,crap,guitar hero eat my shit,hard rock,old school,punk rock
1517,Notorious B.I.G.,hip-hop,rap,classic,gangsta rap,90s,solid,smooth,phat,nice,new york
1518,Fugazi,post-hardcore,hardcore,indie,punk,80s,alternative,emo,indie rock,post hardcore,punk rock
1519,Cinema Bizarre,rock,german,glam rock,alternative,emo,pop rock,male vocalists,stripper music,songs that you wanna listen to over and over again,sexy
1520,Peter Doherty,indie,singer-songwriter,indie rock,british,folk,alternative,acoustic,blues,uk,cafe music
1521,Plain White T's,indie,rock,alternative,pop punk,alternative rock,acoustic,indie rock,pop rock,punk rock,emo
1522,Ryan Cabrera,singer-songwriter,pop,pop rock,rock,acoustic,acoustic rock,alternative,alternative rock,ballad,boys with guitars
1523,Jota Quest,brazilian,pop,pop rock,male vocalists,brasil,brazil,brazilian music,brazilian pop,jota quest,mpb
1524,Os Paralamas do Sucesso,brasil,brazilian,rock,brazilian rock,mpb,seen live,brazilian ska,pop,reggae,ska
1525,Seu Jorge,brazilian,folk,mpb,acoustic,brasil,samba,seen live,bossa nova,brazil,cover
1526,Zeca Baleiro,brasil,brazil,brazilian,mpb,alternative,folk,indie,leftovergrooves,seen live,singer-songwriter
1527,Sandy Leah,mpb,pop,brasil,brazilian,female,female vocalists,jazz,piano,rock,sandy leah
1528,Heidi Montag,dance,pop,female vocalists,love,whore,bitch,rnb,american,people who have no talent,untalented
1529,+44,punk rock,rock,pop punk,punk,alternative,acoustic,male vocals,these guys fucking rule,omg this is so good,loved tracks
1530,Plastiscines,garage rock,indie,indie rock,alternative,female vocalists,french,french indie,glam,gossip girl,next big thing
1531,Jet,rock,indie rock,alternative,alternative rock,indie,hard rock,the vampire diaries,straight up modern rock,soundtrack,songs for gil
1532,Antimatter,progressive rock,alternative,ambient,melancholic,acoustic,atmospheric,atmospheric rock,darkwave,descoperiri,doom metal
1533,M83,electronic,shoegaze,indie,electronica,post-rock,ambient,dream pop,amazing,experimental,alternative
1534,Underworld,dance,techno,electronica,electronic,trance,british,chillout,industrial,seen live,remix
1535,Immanu El,post-rock,art rock,beautiful,christian,coisa de deus,dream pop,experimental,favorite male vocalist,indie,mellow
1536,Ulver,experimental,ambient,black metal,electronic,avant-garde,avant-garde metal,intense,post-black metal,norway,no genre can describe
1537,No-Man,progressive rock,ambient,art rock,electronic,experimental,beatiful,britpop,faves,female,sad
1538,After Forever,abyss,after forever,dutch,female fronted metal,gothic,gothic metal,heavy metal,metal,power metal,seen live
1539,KC and the Sunshine Band,70s,pop,disco,80s,funk,seventies,rnb,dance,1970's,setentas
1540,Goo Goo Dolls,rock,alternative rock,alternative,90s,pop,acoustic,soundtrack,indie rock,indie,pop rock
1541,The Cramps,80s,punk,80s garage,90s,97x,american underground,covers,garage,garage rock,halloween
1542,Alien Sex Fiend,80s,deathrock,batcave,industrial,gothic,post-punk,new wave,halloween,gothic rock,experimental
1543,The Damned,punk,british,punk rock,british artists,british punk,england,english,goth rock,my favorites,post-punk
1544,Ween,alternative rock,alternative,indie rock,90s,acoustic,brown,comedy,favorite,favorite songs,folk
1545,Peter Murphy,new wave,80s,gothic,alternative,post-punk,british,synthpop,synth,romantic,pop
1546,Crass,british,70s,80s,anarchist,anarcho-punk,england,lefties,peace punk,post punk,punk
1547,Butthole Surfers,punk,90s,alternative,garage revival,garage surf,instro rock,noise,noise rock,seen live,songs for gil
1548,Dead Kennedys,punk,punk rock,hardcore punk,covers,hardcore,80s,jao bejbe,runaways,rock hard,political
1549,Danzig,heavy metal,80s,metal,4m4zinq,90s,f4nt4stic,halloween,hard rock,hardcore,horror punk
1550,Big Black,noise,alternative,post-punk,80s,80s hardcore,indie,noise rock,post punk,smash it up,steve albini
1551,The Gun Club,alternative,post-punk,80s,alternative rock,garage rock,indie,indie rock,post punk,psychobilly,punk
1552,Love and Rockets,post-punk,80s,new wave,00s,alternative,balearic,british,goth,indie,rock
1553,The Byrds,60s,classic rock,rock,psychedelic,folk,folk rock,cover,singer-songwriter,americana,american
1554,Five for Fighting,alternative,alternative rock,rock,singer-songwriter,ballad,indie,inlove,jukebox project,male vocalists,piano
1555,Sheryl Crow,female vocalists,alternative,singer-songwriter,rock,pop,summer,james bond,female vocalist,1997,female
1556,Phantom Planet,indie,rock,alternative,alternative rock,indie rock,california,90s,piano,summer,soon to be classic
1557,[unknown],soundtrack,<3,korean,tomoyasu hotei,stoner,russian,rock,porn music,pop,k-pop
1558,Counting Crows,alternative rock,rock,90s,alternative,soundtrack,pop rock,love,2008,other great tracks,straight up modern rock
1559,Sarah McLachlan,singer-songwriter,female vocalists,canadian,pop,alternative,female,piano,rock,cover,female vocalist
1560,The Magic Numbers,indie,indie rock,alternative,british,rock,pop,britpop,sxsw2006,soundtrack,songs that make me sleepy
1561,Supergrass,britpop,indie,rock,90s,numbers,tinosoft,seen live,punk,power pop,pop
1562,Rainbow,hard rock,classic rock,rock,heavy metal,70s,progressive rock,insane classical motives,title is a full sentence,should be played loudly,rock and roll
1563,David Lee Roth,hard rock,80s,hair metal,1985,1986,1988,1991,1994,classic rock,cover
1564,Wolfmother,rock,hard rock,stoner rock,psychedelic,alternative rock,australian,alternative,indie,psychedelic rock,indie rock
1565,Saxon,heavy metal,hard rock,nwobhm,1008,80s,80ss,baixar,classic rock,new wave of british heavy metal,rock
1566,Ugly Kid Joe,hard rock,1992,90s,alternative rock,1991,1995,glam metal,hair metal,hard,metal
1567,L.A. Guns,80s,hair metal,glam metal,1988,1991,cover,hard,hard rock,heavy metal,rock n roll
1568,Yes,progressive rock,classic rock,rock,british,progressive,70s,80s,symphonic prog,psychedelic rock,5-star
1569,America,70s,classic rock,rock,soft rock,folk,acoustic guitar,am gold,american,california,favorite bands
1570,Corinne Bailey Rae,soul,singer-songwriter,chillout,female vocalists,jazz,mellow,british,pop,acoustic,just chillin
1571,Michelle Branch,female vocalists,singer-songwriter,pop,female,female artists,rock,awesome,pop rock,mpb,loved
1572,Utada,pop,utada,rnb,2009,top 40,the truth,sweet,solid,sexy,phat
1573,Jordan Pruitt,<3,amazing,covers,dance,female,female vocalist,female vocalists,oh so catchy,pop,rockn
1574,Mylène Farmer,french,female vocalists,pop,french pop,sexy,female,dream pop,dance,chanson francaise,love
1575,Róisín Murphy,electronic,female vocalists,dance,electronica,alternative,pop,my electro feelings,weekly top tracks,weekly top artists,trip-hop
1576,Tarkan,dance,pop,turkish,male vocalists,90s,sexy,favorites,singer-songwriter,rock,world
1577,Fennesz,drone,glitch,ambient,abstract,industrial,self made music,rock,psychosis,psychedelic,post-rock
1578,John Zorn,experimental,avant-garde,free jazz,jazz,classical,composer,eclectic,eldad,gan-radio,halloween
1579,Ryoji Ikeda,experimental,minimal,avant-garde,descoperiri,glitch,idm,industrial,knarziges klickgefrickel,must have,noise
1580,Biosphere,ambient,electronic,chillout,electronica,dark,downtempo,experimental,icelandic,minimal,norway
1581,Akufen,electronic,7100,berep guest dj closedmouth 239645,canadian,chillout,dance,deepclash,i am a party girl here is my soundtrack,microsound,minimal
1582,Lustmord,ambient,dark ambient,berep shows the love,brilliant,electronic,electronica,experimental,industrial,melancholy,sad
1583,Discharge,punk,british,hardcore,anarchist,crossover,crust,d-beat,england,hardcore punk,lefties
1584,Mnemic,industrial metal,metalcore,melodic death metal,progressive metal,thrash metal,baixar,death metal,industrial,math metal,metal
1585,Unter Null,dark electro,ebm,industrial,aggrotech,englisch,female electronic,female vocalists,gothic,hardtek ebm synthpop,harsh ebm
1586,℃-ute,0 play yet,2008,2009,2010,asian,c-ute,cute,female vocalists,happy,hello project
1587,Berryz工房,j-pop,hello project,2008,happy,jpop,japanese pop,japan,hello project kids,female vocalists,2009
1588,Scarling.,alternative rock,rock,alternative,art rock,female vocalists,gothic,grunge,indie,psychedelic,punk
1589,Aqua,pop,dance,90s,00's,female vocalists,teen pop,tbu,singalong,popular,nineties
1590,Jack Off Jill,rock,alternative,punk,female vocalists,gothic,gothic rock,industrial,alternative rock,skream out loud,screamo
1591,Lords of Acid,industrial,90s,dance,electronic,electronica,acid,alternative,ebm,electro,energetic
1592,Saliva,alternative rock,metal,rock,hard rock,alternative,nu metal,alternative metal,beast,bouncy,hard rock - metal
1593,Helalyn Flowers,female vocalists,electronic,gothic,industrial,industrial rock,ebm,electronica,englisch,frauen und technik,rock hard
1594,Blake Lewis,american idol,dance,pop,electronic,male vocalists,00s,american,american idol 6,nice,singer-songwriter
1595,New Kids on the Block,pop,80s,90s,seen live,boybands,memories,rnb,remix,rafa,pop dance
1596,Alabama,southern rock,country,70s,great song,southern country rock,sexy,sad,my favorite,memories,love songs
1597,Jason Aldean,country,duets,country pop,great song,loved,male vocalists,miserable,modern country,my favorite,new country
1598,Blake Shelton,country,00s,chill zone,classic country,covers,duets,funny,memories,new country,the subjunctive
1599,Kenny Chesney,country,rock,90s,beautiful,classic country,drinking,duets,favorite country music male,great song,love songs
1600,Billy Currington,country,00s,beautiful,classic country,great song,male vocalists,memories,my favorite,new country,people are crazy
1601,Clay Walker,beautiful,classic country,country,great song,guilty pleasures,memories,modern country,my favorite,new country,sad
1602,Montgomery Gentry,country,90s,beautiful,classic country,country rock,dance,drinking,favorites,great song,memories
1603,Ronnie Milsap,country,60s,70s,80s,beautiful,easy listening,love songs,male vocalists,miserable,new country
1604,Sara Evans,country,90s,beautiful,classic country,country ladies,covers,favorite country music female,female vocalists,great song,my favorite
1605,Lee Ann Womack,country,female vocalist,beautiful,chill zone,country ladies,guilty pleasures,miserable,modern country,neat,texas country
1606,Hank Williams Jr.,country,60s,70s,80s,90s,american,country rock,sad,southern country rock,southern rock
1607,Bell X1,indie,irish,alternative,beautiful,britpop,folk,girl name songs,love songs,rock,singer-songwriter
1608,Toad the Wet Sprocket,alternative,90s,alternative rock,college rock,favourite,garth,happy song,indie,live music archive,namora
1609,Hootie & the Blowfish,90s,rock,alternative,alternative rock,acoustic,pop,00s,indie,progressive rock,my fav songs
1610,Brand New,rock,alternative,indie,indie rock,awesome,seen live,emo,instrumental,acoustic,sexual
1611,Ray LaMontagne,folk,acoustic,mellow,awesome,berep shows the love,calm,chill,male vocalists,mmmm,singer-songwriter
1612,Gov't Mule,blues,rock,southern rock,blues rock,classic rock,90s,favorite songs,favorites,hard rock,jam
1613,Coheed and Cambria,progressive rock,alternative,rock,emo,acoustic,indie,summer,seen live,screamo,progressive metal
1614,Will Smith,hip-hop,rap,90s,dance,hip hop,american,fresh prince,rnb,soundtrack,tinosoft
1615,Matisyahu,reggae,alternative,matisyahu,avant-garde,awsome,chill out,experimental,fave,folk,hip hop
1616,Girl Talk,dance,hip-hop,electronic,electronica,mashup,00s,just some guy,sweet,sick,seen live
1617,Alizée,french,female vocalists,pop,france,random songs,melancholic,ladytronica,french pop,00s,alizee
1618,Huey Lewis & The News,80s,rock,classic rock,soundtrack,80s pop,all the best,american,artists,best songs of the 80s,cool
1619,Richard Ashcroft,indie,british,britpop,singer-songwriter,rock,alternative,male vocalists,seen live,alone with everybody,uk
1620,Brian Wilson,pop,experimental,psychedelic,60s,alternative,classic rock,cover,folk,indie,instrumental
1621,Angus & Julia Stone,acoustic,beautiful,female vocalists,folk,love at first listen,aana,alternative,chillout,electronic,indie
1622,Caribou,electronic,experimental,canadian,indie,seen live,2010,berep guest dj closedmouth 239645,chill wave,cool,downtempo custom
1623,Les Savy Fav,indie rock,american,dance,indie pop,instrumental,kicking,new wave,new york,noise rock,pop
1624,Owen Pallett,canadian,singer-songwriter,00s,best song ever,experimental,indie,indie pop,male vocalists,seen live,violin
1625,Panda Bear,experimental,psychedelic,new weird america,awesome-ness,winter,what they worse live,the songs that make me sick with butterflies,summer,seen live,psychedelic pop
1626,Grizzly Bear,indie,indie folk,seen live,folk,makes me want to shout it from a rooftop,twilight,skins soundtrack,rock,reverb,psychedelic
1627,Liars,noise,post-punk,experimental,seen live,avant-garde,experimental rock,favorites,indie,indie rock,my angular favourites
1628,Gold Panda,electronic,psychedelic,00s,ambient,british,chillwave,dubstep,electronica,experimental,idm
1629,Micachu,best song ever,british,female vocalists,folk,indie pop,indie rock,indietronica,instrumental,lo-fi,noise rock
1630,Atlas Sound,shoegaze,ambient,experimental,psychedelic,best song ever,bliss,dream pop,ghostrock,indie pop,indietronica
1631,Baths,ambient,electronic,chill witch,experimental,hip-hop,in the witch house family,lo-fi,seen live,witch chill,witch house
1632,Broken Bells,indie,indie rock,indie pop,2010,experimental,psychedelic,happy,folk,electronic,90210
1633,Ratatat,electronic,indie,instrumental,alternative,experimental,amazing,chill,dance,eclectic,electro
1634,Yolanda Be Cool & DCUP,dance,2010,best song ever,club,electronic,epic,free,fun,hip-hop,long
1635,Wale,wale,angelina joanne,awsome,chillil,ft,hip hop,hood,hot,lady,lady gaga
1636,Soulfly,metal,nu metal,thrash metal,hardcore,metalcore,groove metal,alternative,brazilian,brazilian metal,cavalera
1637,Norma Jean,metalcore,mathcore,hardcore,chaotic hardcore,christian,disco,fromhell,grunge,norma jean,post-hardcore
1638,Friendly Fires,electronic,indie,dance,new rave,indietronica,seen live,british,dance-punk,electro,cowbell
1639,311,alternative,rock,alternative rock,reggae,bruno likes this song,cover,great song,love,mellow,nice song
1640,Against Me!,rock,punk,folk punk,indie,metal,sing-a-long,seen live,really great punk rock,punk rock,punk folk
1641,Hole,grunge,rock,female vocalists,alternative,alternative rock,90s,punk,riot grrrl,usa,hard rock
1642,Cazuza,mpb,brazilian,rock,singer-songwriter,brasil,brazil,cazuza,melhor compositor do brasil,politeconomist realife soundtrack,soundtrack of my childhood
1643,Vanguart,folk,brazilian,indie,folk rock,rock,brasil,00s,relax,songs i absolutely love,seen live
1644,Hanson,90s,pop,rock,1990's,good mood music,seen live,pop rock,nineties,love songs,indie pop
1645,Gavin DeGraw,rock,singer-songwriter,pop,piano,soundtrack,pop rock,one tree hill,piano rock,soul,seen live
1646,Augustana,alternative,rock,indie,piano rock,alternative rock,piano,acoustic,one tree hill,seen live,quod me nutrit me destruit
1647,Third Eye Blind,90s,alternative,rock,alternative rock,infectious,underrated,symphony of decay,pop rock,mellow,love
1648,The Corrs,female vocalists,pop,irish,folk,celtic,pop rock,happy,the corrs,singalong,sexy
1649,The Horrors,indie,british,garage rock,punk,post-punk,shoegaze,rock,post-punk revival,uk,indie rock
1650,Soft Cell,new wave,80s,synthpop,synth pop,electronic,new romantic,british,post-punk,cover,pop
1651,Shiny Toy Guns,electronic,indie,rock,dance,synthpop,electronica,indie rock,gossip girl,00s,i love this song
1652,Museum,indie rock,indie,alternative rock,alternative,awesome,rock,german,00s,progressive rock,post-punk
1653,Uriah Heep,classic rock,hard rock,rock,progressive rock,70s,listened more than 10 times in a row,taking over my mind,symphonic prog,rock and roll,heavy metal
1654,Funkadelic,funk,soul,p-funk,psychedelic,rock,70s,at work,blues,classic rock,guitar solo
1655,Sly & The Family Stone,funk,soul,rock,rhythm and blues,classic rock,psychedelic,60s,seventies,setentas,setenta
1656,Violent Femmes,alternative,80s,alternative rock,indie,punk,rock,barkbarkdisco,college rock,favourite bands,legends
1657,Cynic,technical death metal,death metal,progressive metal,progressive death metal,alsolike,melodic death metal,touching,tech - prog death,pure beauty,progressive
1658,Bad Manners,ska,animals,british,cities,cover,covers,crime,ska revival,two tone,two-tone
1659,Bad Brains,punk,hardcore punk,reggae,80s,80s hardcore,dub,hardcore,old school,originals,party
1660,Marilyn Monroe,jazz,female vocalists,swing,soundtrack,50s,q sexy,pop,lovely,love,glamorous
1661,Tila Tequila,electronic,female vocalists,pop,alternative,bri11i4nt,dance,female vocalist,female voices,hip-hop,lets go girl
1662,Blood Red Shoes,indie rock,indie,british,garage rock,female vocalists,uk,00s,alternative,alternative rock,fun
1663,Septic Flesh,death metal,melodic death metal,dark metal,doom metal,friends,fucking awesome,greek metal,killer riffing,metal,seen live
1664,Neurosis,post-metal,sludge,doom metal,experimental,metal,80s,chugga chugga chugga,fuck yeah,holy dick everyone is going to fucking die,post metal
1665,Maybeshewill,post-rock,experimental,instrumental,post rock,alternative rock,ambient,beautiful,coisa de deus,math rock,melancholy
1666,Morten Harket,norwegian,male vocalists,2008,new wave,indie,incredible voice,favourites,favourite songs,favourite artists,favourite
1667,Rob Thomas,rock,sweet,male vocalists,alternative rock,singer-songwriter,pop,smile,random songs,pop rock,nostalgic
1668,Late Night Alumni,chill,chillout,dance,downtempo,fave songs ever,house,ladytronica,pop,relax,vocal
1669,Daughtry,rock,alternative rock,alternative,american idol,hard rock,christian,male vocalists,christian rock,good bands,post-grunge
1670,Koop,jazz,acid jazz,trip-hop,lounge,chillout,downtempo,heard on 30 jul 06 downtempo sampler radio,nu-jazz,nu jazz,instrumental
1671,Blank & Jones,trance,electronic,chillout,progressive trance,dance,house,german,lounge,downtempo,light trip-hop
1672,Daniel Powter,alternative,canadian,pop,singer-songwriter,light pop relaxing,lpa,my day sucks,piano,pop rock,rafa
1673,Nitin Sawhney,chillout,world,electronic,ambient,downtempo,trip-hop,chill out,electronica,guitar,instrumental
1674,Chris de Burgh,80s,mellow,pop,best christmas songs,british,christmas,heard on pandora,male vocalists,retro,rock
1675,Macy Gray,female vocalists,rnb,pop,soul,funk,2008,90s,chillout,electronic,favorite
1676,Массква,female vocalists,pop,russian,indie-romantic,love-rock,pop-rock,rock,rock-pop,romantic rock,russia
1677,A.R. Rahman,soundtrack,00s,bollywood,electronic,ezbeni,female vocalists,hindi,indian,oscar winning songs,winds of soul
1678,Slowdive,shoegaze,dream pop,ambient,indie,indie rock,90s,electronic,slowcore,melancholy,female vocalists
1679,Julee Cruise,dream,dream pop,ethereal,female vocalists,girlamazing,heartbroke,jazz,mellow,pop,soundtrack
1680,Angelo Badalamenti,soundtrack,instrumental,ambient,jazz,90s,chillout,downtempo,80s,lounge,in the chillwave family
1681,Robert Plant,rock,classic rock,hard rock,heavy,personal meaning,new wave and eighties,male vocals,male vocalists,legends,hypnotic
1682,Chris Isaak,rock,80s,singer-songwriter,male vocalists,classic rock,pop,mellow,melancholy,soundtrack,soft rock
1683,Mazzy Star,dream pop,indie,shoegaze,alternative,female vocalists,indie rock,mellow,acoustic guitar,melancholy,somber
1684,Soda Stereo,rock en espanol,80s,90s,alternative rock,argentina,good old times,i love my dad taste,idolo,latin,rock en castellano
1685,Peggy Lee,1940s,40s,50s,all the best,berep shows the love,best songs of the 50s,jazz,popular,retro,swing
1686,The Gathering,gothic metal,gothic,progressive metal,female vocalists,riot grrrl,progressive rock,orgasm,nostalgic,melancholic,alternative
1687,CocoRosie,indie,experimental,folk,female vocalists,new weird america,alternative,freak folk,ambient,orgasm,poetry
1688,Bad Boys Blue,disco,80s,eurodance,80s pop,dance,dance electronic 80s,german,hi-nrg,italo,italo disco
1689,Secret Service,80s,dance,pop,disco,electronica,indie,my loving,scandinavia,swedish,synthpop
1690,Fancy,disco,80s,german,pop,80s pop,alternative,atmospheric,dance,dance electronic 80s,electronic
1691,Bryan Ferry,80s,new wave,glam rock,pop,rock,70s,british,90s,uk,time
1692,Asia,progressive rock,80s,classic rock,rock,hard rock,00s,art rock,artists,asia,favorite songs
1693,Kutless,christian rock,christian,worship,jesus 12,top christian,spiritual,preferidas,post-grunge,just could not get any better,adoracao
1694,12 Stones,christian rock,rock,alternative,hard rock,alternative rock,christian,diego,diego 12,englisch,gospel
