,Artista,rock,pop,alternative,electronic,indie,female vocalists,80s,dance,alternative rock,classic rock
3115,Lady GaGa Ft. Beyoncé,0,1,0,0,0,0,0,1,0,0
3116,Brick & Lace,0,0,0,0,0,1,0,1,0,0
3117,Che'nelle,0,0,0,0,0,1,0,0,0,0
3118,Pussycat Dolls,0,1,0,0,0,0,0,1,0,0
3119,Franco de Vita,0,1,0,0,0,0,1,0,0,0
3120,Shu-Bi-Dua,0,1,0,0,0,0,0,0,0,0
3121,Dizzy Mizz Lizzy,1,0,0,0,0,0,0,0,0,0
3122,TV-2,1,1,0,0,0,0,1,0,0,0
3123,Kim Larsen,1,0,0,0,0,0,0,0,0,0
3124,Celina Ree,0,0,0,0,0,1,0,0,0,0
3125,Slade,1,1,0,0,0,0,0,0,0,1
3126,Kim Larsen & Bellami,0,1,0,0,0,0,0,0,0,0
3127,Simone,0,0,0,0,0,1,0,0,0,0
3128,Tyler Adam,1,1,0,1,1,0,0,1,0,0
3129,Peaches,1,0,0,1,0,1,0,1,0,0
3130,Ray J,0,1,0,0,0,0,0,0,0,0
3131,Missy Elliott,0,0,0,0,0,1,0,1,0,0
3132,Marsha Ambrosius,0,0,0,0,0,1,0,0,0,0
3133,Kiley Dean,0,0,0,0,0,0,0,1,0,0
3134,Fagget Fairys,0,1,0,0,0,1,0,0,0,0
3135,Coconut Records,0,1,1,0,1,0,0,0,0,0
3136,Tweet,0,0,0,0,0,1,0,0,0,0
3137,"Lisa ""Left Eye"" Lopes",0,0,0,0,0,1,0,0,0,0
3138,Robin Thicke,0,1,0,0,0,0,0,0,0,0
3139,The Living End,1,0,1,0,0,0,0,0,1,0
3140,Powderfinger,1,0,0,0,0,0,0,0,0,0
3141,Nobukazu Takemura,0,0,0,1,0,0,0,0,0,0
3142,Black Moth Super Rainbow,0,0,0,1,1,0,0,0,0,0
3143,Asobi Seksu,0,0,1,0,1,1,0,0,0,0
3144,Mirah,0,0,0,0,1,1,0,0,0,0
3145,Cloud Cult,0,0,1,0,1,0,0,0,0,0
3146,Romy Low,0,1,0,0,0,0,0,1,0,0
3147,Kate Ryan,0,1,0,1,0,1,0,1,0,0
3148,Ideя Fix,0,0,1,0,0,0,0,0,0,0
3149,Animal ДжаZ,1,0,1,0,0,0,0,0,1,0
3150,Сюрприз,1,0,0,0,0,0,0,0,0,0
3151,Сэйсорри,1,0,0,0,0,0,0,0,0,0
3152,Blood on the Dance Floor,0,0,0,1,0,0,0,0,0,0
3153,The Dangerous Summer,0,0,0,0,0,0,0,0,1,0
3154,ГДР,1,0,0,0,1,0,0,0,0,0
3155,Everclear,1,0,0,0,0,0,0,0,1,0
3156,The Academy Is...,1,0,1,0,1,0,0,0,1,0
3157,Anna Nalick,1,1,1,0,1,1,0,0,0,0
3158,Megan McCauley,1,0,1,0,0,1,0,0,0,0
3159,Selena,0,0,0,0,0,1,0,0,0,0
3160,The J. Geils Band,1,1,0,0,0,0,1,0,0,1
3161,Manchester Orchestra,1,0,1,0,1,0,0,0,0,0
3162,Djavan,0,0,1,0,0,0,0,0,1,0
3163,王菲,1,0,1,0,1,1,0,0,0,0
3164,盧巧音,1,0,1,1,1,0,0,0,0,0
3165,莫文蔚,0,0,1,1,0,0,0,1,0,0
3166,Jesse Cook,0,0,0,0,0,0,0,1,0,0
3167,陳奕迅,1,0,1,1,0,0,0,1,0,0
3168,Armik,0,0,0,0,0,0,0,1,0,0
3169,Jon Secada,0,1,0,0,0,0,0,1,0,0
3170,Estopa,1,1,0,0,0,0,0,0,0,0
3171,蕭亞軒,0,0,0,1,0,0,0,1,0,0
3172,楊千嬅,0,0,0,1,0,0,0,0,0,0
3173,伍佰,1,0,0,1,1,0,0,0,0,0
3174,Валерий Леонтьев,0,0,0,0,0,0,0,1,0,0
3175,Κώστας Μαρτάκης,0,0,0,0,0,0,0,1,0,0
3176,Иракли,0,1,0,1,0,0,0,1,0,0
3177,Miranda,0,0,0,1,0,0,0,0,0,0
3178,Miguel Bosé,0,1,0,0,0,0,0,0,0,0
3179,Angelfish,1,0,1,0,0,1,0,0,0,0
3180,Mirror,0,0,0,1,0,0,0,0,0,0
3181,Los Prisioneros,1,0,0,0,0,0,1,0,0,0
3182,Miranda!,0,1,0,1,0,0,0,0,0,0
3183,The Wanted,0,1,0,1,0,0,0,0,0,0
3184,Natalia Lafourcade,0,1,0,0,0,0,0,0,0,0
3185,7 Year Bitch,0,0,0,0,0,1,0,0,0,0
3186,2ois,0,1,1,0,1,0,0,0,1,0
3187,Granada,1,0,0,0,0,0,0,0,0,0
3188,Juliette and The Licks,1,0,1,0,1,1,0,0,1,0
3189,Jeff Beck,1,0,0,0,0,0,0,0,0,1
3190,Angelspit,0,0,0,1,0,0,0,0,0,0
3191,Millionaires,0,1,0,1,0,0,0,1,0,0
3192,Freezepop,0,0,0,1,1,1,0,0,0,0
3193,Zee Avi,0,0,1,0,1,0,0,0,0,0
3194,Die So Fluid,0,0,0,0,0,0,0,0,1,0
3195,Blaqk Audio,0,0,1,1,0,0,0,1,0,0
3196,I:Scintilla,0,0,0,1,0,1,0,0,0,0
3197,Crispin Hellion Glover,0,0,1,0,0,0,0,0,0,0
3198,Bitch Brigade,0,0,0,1,0,0,0,0,0,0
3199,Jakalope,0,0,0,0,0,1,0,0,0,0
3200,Cady Groves,0,1,0,0,1,0,0,0,0,0
3201,Allister,1,0,0,0,0,0,0,0,0,0
3202,The Lemonheads,0,0,0,0,1,0,0,0,1,0
3203,American Hi-Fi,1,0,1,0,0,0,0,0,1,0
3204,Electrik Red,0,0,0,0,0,1,0,0,0,0
3205,Светлана Лобода,0,1,0,0,0,0,0,0,0,0
3206,En Vogue,0,0,0,0,0,0,0,1,0,0
3207,Club RАЙ,0,0,0,1,0,0,0,1,0,0
3208,Diddy,0,0,0,0,0,0,0,1,0,0
3209,Khia,0,0,0,0,0,1,0,0,0,0
3210,3,1,0,1,0,0,0,0,0,1,0
3211,Oceansize,1,0,1,0,0,0,0,0,1,0
3212,Tracey Thorn,0,1,0,1,0,1,0,0,0,0
3213,RJD2,0,0,0,1,1,0,0,0,0,0
3214,Ulrich Schnauss,0,0,0,1,0,0,0,1,0,0
3215,Gus Gus,0,0,1,1,1,0,0,1,0,0
3216,Giorgio Moroder,0,0,0,0,0,0,1,0,0,0
3217,Lina Morgana,0,1,1,0,0,0,0,0,0,0
3218,The Secret Handshake,0,0,1,1,0,0,0,0,0,0
3219,Kill Paradise,0,0,0,1,0,0,0,0,0,0
3220,Breathe Electric,0,1,0,1,1,0,0,1,0,0
3221,The Rocket Summer,1,0,1,0,1,0,0,0,0,0
3222,Artist Vs. Poet,0,1,0,1,0,0,0,0,0,0
3223,Mae,1,0,1,0,1,0,0,0,1,0
3224,The Bigger Lights,0,1,0,0,0,0,0,0,0,0
3225,Swimming With Dolphins,0,0,0,1,0,0,0,0,0,0
3226,Chase Coy,0,0,0,0,1,0,0,0,0,0
3227,There For Tomorrow,1,0,1,1,0,0,0,0,0,0
3228,Red Car Wire,0,0,1,0,1,0,0,0,0,0
3229,Fabolous,0,0,0,0,0,1,0,0,0,0
3230,Os Seminovos,1,0,0,0,0,0,0,0,1,0
3231,Carmen Miranda,0,0,0,0,0,1,0,0,0,0
3232,Luxúria,0,0,0,0,0,1,0,0,0,0
3233,Atrium Carceri,0,0,0,1,0,0,0,0,0,0
3234,Bif Naked,1,0,1,0,0,1,0,0,1,0
3235,The John Butler Trio,0,0,1,0,1,0,0,0,1,0
3236,Harry and the Potters,1,0,1,0,1,0,0,0,0,0
3237,The Ditty Bops,0,0,0,0,1,1,0,0,0,0
3238,The Unicorns,0,0,0,0,1,0,0,0,0,0
3239,KABRIANA,0,0,0,0,0,0,0,1,0,0
3240,Kevin Rudolf,1,1,0,1,0,0,0,1,0,0
3241,Laura Branigan,0,1,0,0,0,1,1,1,0,0
3242,Deniece Williams,0,1,0,0,0,1,1,0,0,0
3243,Blue Angel,1,0,0,0,0,0,1,0,0,0
3244,Frida,0,1,0,0,0,0,1,0,0,0
3245,Cassiane,0,0,0,0,0,1,0,0,0,0
3246,Boney M.,1,1,0,0,0,0,1,1,0,0
3247,Carly Simon,0,0,0,0,0,0,1,0,0,0
3248,Aline Barros,0,0,0,0,0,1,0,0,0,0
3249,Belinda Carlisle,1,1,0,0,0,1,1,1,0,0
3250,Elaine De Jesus,0,0,0,0,0,1,0,0,0,0
3251,Daniela Mercury,0,0,0,0,0,1,0,0,0,0
3252,Air Supply,1,1,0,0,0,0,1,0,0,1
3253,John Frusciante,1,0,1,0,1,0,0,0,1,0
3254,"Albert Hammond, Jr.",1,0,1,0,1,0,0,0,0,0
3255,James,1,0,1,0,1,0,0,0,0,0
3256,Mark Lanegan,1,0,1,0,0,0,0,0,0,0
3257,Big Country,1,1,1,0,0,0,1,0,0,0
3258,Then Jerico,1,0,0,0,0,0,1,0,0,0
3259,Brother Beyond,0,1,0,0,0,0,1,0,0,0
3260,T'Pau,1,1,0,0,0,1,1,1,0,0
3261,Wet Wet Wet,1,1,0,0,0,0,1,0,0,0
3262,Magne F,0,0,1,0,0,0,0,0,0,0
3263,Haircut 100,0,1,0,0,0,0,1,0,0,0
3264,Propaganda,1,1,0,1,0,1,1,1,0,0
3265,Aztec Camera,0,1,0,0,0,0,1,0,0,0
3266,Kellplanet,1,0,0,0,0,0,0,0,0,0
3267,Amiina,0,0,0,1,0,0,0,0,0,0
3268,port-royal,0,0,0,1,0,0,0,0,0,0
3269,This Will Destroy You,0,0,0,1,0,0,0,0,0,0
3270,Conjure One,0,0,0,1,0,0,0,0,0,0
3271,Helios,0,1,0,1,0,0,0,1,0,0
3272,Susumu Yokota,0,0,0,1,0,0,0,0,0,0
3273,Envy on the Coast,0,0,1,0,1,0,0,0,0,0
3274,The Sleeping,0,0,1,0,0,0,0,0,0,0
3275,Cartel,1,0,1,0,0,0,0,0,0,0
3276,The Audition,1,0,1,0,0,0,0,0,0,0
3277,Gatsby's American Dream,1,0,0,0,1,0,0,0,0,0
3278,Emery,1,0,0,0,0,0,0,0,0,0
3279,Say Anything,1,0,1,0,0,0,0,0,0,0
3280,Edison Glass,0,0,1,0,1,0,0,0,0,0
3281,Book of Love,0,0,0,0,0,0,1,0,0,0
3282,Olivia Newton-John,0,1,0,0,0,1,1,0,0,0
3283,Boy George,0,1,0,0,0,0,1,0,0,0
3284,Josie Cotton,0,1,0,0,0,0,1,0,0,0
3285,Altered Images,0,0,0,0,0,1,1,0,0,0
3286,Jane Wiedlin,1,1,0,0,0,0,1,1,0,0
3287,Squeeze,0,1,1,0,0,0,1,0,0,0
3288,VHS or Beta,1,1,1,1,1,0,0,1,0,0
3289,Passengers,1,1,1,0,1,0,1,0,0,0
3290,John Taylor,1,1,1,0,1,0,1,0,0,0
3291,Hateen,1,0,1,0,0,0,0,0,1,0
3292,Drive,1,0,1,0,0,0,0,0,1,0
3293,Leela,1,0,0,0,0,1,0,0,0,0
3294,Fatale,1,0,0,0,0,0,0,0,0,0
3295,Scorngrain,0,0,0,1,0,0,0,0,0,0
3296,Pulse Ultra,1,0,1,0,0,0,0,0,0,0
3297,The Sin:Decay,0,0,0,1,0,0,0,0,0,0
3298,UnSun,0,0,0,0,0,1,0,0,0,0
3299,Clawfinger,0,0,1,0,0,0,0,0,0,0
3300,Clinic,0,0,0,0,1,0,0,0,0,0
3301,Guided by Voices,1,0,1,0,1,0,0,0,1,0
3302,The Fucking Champs,1,0,0,0,1,0,0,0,0,0
3303,The Wedding Present,1,0,0,1,1,0,1,0,0,0
3304,Ted Leo and The Pharmacists,1,0,0,0,1,0,0,0,0,0
3305,White Rose Movement,0,0,1,1,1,0,0,0,0,0
3306,Such a Beautiful Day,0,0,1,0,0,0,0,0,0,0
3307,Antonio Birabent,1,0,1,0,1,0,0,0,0,0
3308,The Charlatans,0,1,1,0,1,0,1,0,1,0
3309,Alexi Murdoch,0,0,0,0,1,0,0,0,0,0
3310,Grégory Lemarchal,0,1,0,0,0,0,0,0,0,0
3311,Jessica Mauboy,0,1,0,0,0,1,0,1,0,0
3312,Hanna Pakarinen,1,1,0,0,0,0,0,0,0,0
3313,Jedward,0,1,0,0,0,0,0,0,0,0
3314,Alien Vampires,0,0,0,1,0,0,0,0,0,0
3315,FGFC820,0,0,0,1,0,0,0,0,0,0
3316,Nachtmahr,0,1,0,0,0,0,0,0,0,0
3317,Wax,1,0,1,0,0,0,1,1,0,0
3318,Modulate,0,0,0,1,0,0,0,0,0,0
3319,Modern English,1,0,0,0,0,0,1,0,0,0
3320,Go West,1,1,0,0,0,0,1,0,0,0
3321,Dining With The Bolsheviks,0,0,0,0,1,0,0,0,0,0
3322,The Books,0,0,0,1,0,0,0,0,0,0
3323,Hercules and Love Affair,0,0,0,1,1,0,0,1,0,0
3324,Pryda,0,0,0,1,0,0,0,0,0,0
3325,Tommy Sparks,0,0,0,1,1,0,0,0,0,0
3326,Glasvegas,1,0,1,0,1,0,0,0,1,0
3327,A,1,0,1,0,0,0,0,0,0,0
3328,Color Theory,0,0,0,1,0,0,0,0,0,0
3329,Jay-Jay Johanson,0,0,1,1,1,0,0,0,0,0
3330,Kurt Nilsen,1,1,1,0,0,0,0,0,0,0
3331,YeDish,0,0,0,1,0,0,0,0,0,0
3332,Eirik Hansen og Ove Randow,0,1,0,0,0,0,0,0,0,0
3333,Atlantic Popes,0,0,0,1,0,0,0,0,0,0
3334,The Twins,0,0,0,0,0,0,1,0,0,0
3335,Gabry Ponte,0,0,0,1,0,0,0,1,0,0
3336,Kesmeşeker,1,0,0,0,0,0,0,0,1,0
3337,Yonderboi,0,0,0,1,0,0,0,0,0,0
3338,Jim Morrison,0,0,0,0,0,0,0,0,0,1
3339,Gevende,0,0,1,0,0,0,0,0,0,0
3340,Karapaks,0,0,0,0,0,0,0,0,1,0
3341,Steve Vai,1,0,0,0,0,0,0,0,0,0
3342,Gary Moore,1,0,0,0,0,0,1,0,0,1
3343,Between Interval,0,0,0,1,0,0,0,0,0,0
3344,Staruha Mha,0,0,0,1,0,0,0,0,0,0
3345,_Algol_,0,0,0,1,0,0,0,0,0,0
3346,De-Phazz,0,0,0,1,0,1,0,0,0,0
3347,Пилот,1,0,0,0,0,0,0,0,0,0
3348,Blind Divine,0,0,0,1,0,0,0,0,0,0
3349,Ab Ovo,0,0,0,1,0,0,0,0,0,0
3350,Lusine ICL,0,0,0,1,0,0,0,0,0,0
3351,All India Radio,0,0,0,1,0,0,0,0,0,0
3352,H.U.V.A. Network,0,0,0,1,0,0,0,0,0,0
3353,Hol Baumann,0,0,0,1,0,0,0,0,0,0
3354,Silencide,0,0,0,1,0,0,0,0,0,0
3355,Aes Dana,0,0,0,1,0,0,0,0,0,0
3356,Asura,0,0,0,1,0,0,0,0,0,0
3357,ksandr,0,0,0,0,1,0,0,0,0,0
3358,Nina Karlsson,0,0,0,1,0,1,0,0,0,0
3359,Orsten,0,0,0,1,0,0,0,0,0,0
3360,Akurat,1,0,1,0,0,0,0,0,0,0
3361,Big Brother & The Holding Company,1,0,0,0,0,0,0,0,0,1
3362,USA for Africa,1,1,0,0,0,0,1,0,0,0
3363,Wilki,1,0,0,0,0,0,0,0,0,0
3364,Pentagram,0,0,0,0,0,0,1,0,0,1
3365,Jimmy Page,0,0,0,0,0,0,0,0,0,1
3366,Phideaux,1,0,0,0,0,0,0,0,0,0
3367,Alamaailman Vasarat,0,0,1,0,0,0,0,0,0,0
3368,The Alan Parsons Project,1,1,1,1,0,0,1,0,0,1
3369,Shining,0,0,0,0,0,0,0,0,1,0
3370,B.B. King,0,0,1,0,0,0,0,0,0,0
3371,Anja Garbarek,0,1,1,1,1,1,0,0,0,0
3372,Jaga Jazzist,0,0,0,1,0,0,0,0,0,0
3373,Bonde da Stronda,0,1,0,0,1,0,0,0,0,0
3374,Deja Vue,0,0,0,1,0,0,0,0,0,0
3375,The K,0,0,0,1,0,0,0,0,0,0
3376,Alison Moyet,0,1,1,0,0,1,1,0,0,0
3377,The Blow Monkeys,0,0,0,0,0,0,1,0,0,0
3378,Imagination,0,1,0,0,0,0,1,1,0,0
3379,The Teenagers,0,0,0,1,1,0,0,0,0,0
3380,Kinky,1,0,1,0,0,0,0,0,1,0
3381,British Sea Power,1,0,1,0,1,0,0,0,1,0
3382,Mylo,0,0,0,1,0,0,0,1,0,0
3383,Gang of Four,1,0,1,0,1,0,1,0,0,0
3384,Babasónicos,0,1,0,0,1,0,0,0,0,0
3385,Zeromancer,0,0,0,1,0,0,0,0,0,0
3386,Moderat,0,0,0,1,0,0,0,0,0,0
3387,Snog,0,0,0,1,0,0,0,0,0,0
3388,Tomahawk,0,0,1,0,0,0,0,0,1,0
3389,Meg Lee Chin,0,0,0,1,0,1,0,0,0,0
3390,Hori,1,0,0,0,0,0,0,0,0,0
3391,Brother Firetribe,1,0,0,0,0,0,0,0,0,0
3392,Hardline,1,0,0,0,0,0,1,0,0,0
3393,Sebastian Bach,1,0,0,0,0,0,0,0,0,1
3394,Тараканы!,1,0,0,0,0,0,0,0,0,0
3395,David Holmes,0,0,0,1,0,0,0,0,0,0
3396,Grand Avenue,1,0,1,0,1,0,0,0,1,0
3397,Afro Celts,0,0,1,0,0,0,0,0,0,0
3398,Yael Naim,0,1,0,0,0,1,0,0,0,0
3399,Band Aid,0,1,0,0,0,0,1,0,0,0
3400,Eva Cassidy,0,0,0,0,0,1,0,0,0,0
3401,Camper Van Beethoven,0,0,1,0,0,0,0,0,1,0
3402,Robyn Hitchcock,0,0,1,0,0,0,0,0,0,0
3403,Mystics Anonymous,0,0,1,0,1,0,0,0,1,0
3404,Sloan,0,0,0,0,1,0,0,0,0,0
3405,Thomas Newman,0,0,0,1,0,0,0,0,0,0
3406,Cowboy Junkies,1,0,1,0,0,0,0,0,0,0
3407,Luna,0,0,1,0,1,0,0,0,0,0
3408,Loreena McKennitt,0,0,1,0,0,1,0,0,0,0
3409,Cage the Elephant,1,0,1,0,1,0,0,0,1,0
3410,Nine Black Alps,1,0,1,0,1,0,0,0,0,0
3411,Eight Legs,0,0,0,0,1,0,0,0,0,0
3412,The Rifles,1,0,1,0,1,0,0,0,0,0
3413,The Fashion,0,0,1,0,1,0,0,0,0,0
3414,Carolina Liar,1,0,1,0,1,0,0,0,1,0
3415,Reverend and The Makers,0,0,0,0,1,0,0,1,0,0
3416,Hard-Fi,1,0,1,0,1,0,0,0,1,0
3417,The Airborne Toxic Event,1,0,1,0,1,0,0,0,1,0
3418,The View,1,1,1,0,1,0,0,0,0,0
3419,Nemesea,1,0,0,0,0,1,0,0,0,0
3420,Sonique,0,1,0,1,0,1,0,1,0,0
3421,Aqualung,1,1,1,0,1,0,1,0,1,0
3422,Renaud,1,0,0,0,0,0,0,0,0,0
3423,Olivia Ruiz,0,0,0,0,0,1,0,0,0,0
3424,Téléphone,1,0,0,0,0,0,1,0,0,0
3425,Jean-Louis Aubert,1,0,0,0,0,0,0,0,0,0
3426,Louise Attaque,1,0,1,0,1,0,0,0,1,0
3427,The Brian Setzer Orchestra,1,0,1,0,0,0,0,0,0,0
3428,Tom Poisson,0,1,0,0,0,0,0,0,0,0
3429,Alain Bashung,1,0,0,0,0,0,0,0,0,0
3430,Alain Souchon,0,1,0,0,0,0,0,0,0,0
3431,Luke,1,0,1,0,0,0,0,0,0,0
3432,Stray Cats,1,0,0,0,0,0,1,0,0,0
3433,Stephan Eicher,1,1,0,0,0,0,0,0,0,0
3434,Sam Phillips,0,0,0,0,0,1,0,0,0,0
3435,Minnie Driver,0,0,0,0,0,1,0,0,0,0
3436,Joe Cocker,1,0,0,0,0,0,1,0,0,1
3437,Paulo César Baruk,0,1,0,0,0,0,0,0,0,0
3438,Fernanda Brum,0,0,0,0,0,1,0,0,0,0
3439,Flogging Molly,1,0,1,0,0,0,0,0,0,0
3440,Vega,0,0,1,0,0,1,0,0,1,0
3441,Duman,1,0,0,0,0,0,0,0,1,0
3442,Daniel Johnston,1,1,0,0,0,0,0,0,0,0
3443,Pete Townshend,1,0,0,0,0,0,1,0,0,1
3444,Alex Gaudino,0,0,0,1,0,0,0,1,0,0
3445,Jenny Owen Youngs,0,0,0,0,1,0,0,0,0,0
3446,Ben Lee,0,0,1,0,1,0,0,0,0,0
3447,Carly Rae Jepsen,0,1,0,0,0,0,0,0,0,0
3448,Anya Marina,0,1,0,0,1,1,0,0,0,0
3449,Cory Lee,0,0,0,0,0,0,0,1,0,0
3450,Terra Naomi,0,0,0,0,0,1,0,0,0,0
3451,Krezip,1,1,0,0,0,1,0,0,0,0
3452,Chantal Kreviazuk,0,0,0,0,0,1,0,0,0,0
3453,Charlotte Martin,0,0,0,1,1,0,0,0,0,0
3454,Erin McCarley,1,0,0,0,1,1,0,0,0,0
3455,Bree Sharp,0,1,0,0,0,0,0,0,0,0
3456,Lucie Silvas,0,1,0,0,0,1,0,0,0,0
3457,Lene,0,1,0,1,0,0,0,1,0,0
3458,David Vendetta,0,0,0,1,0,0,0,1,0,0
3459,Buy Now,0,0,0,1,0,0,0,0,0,0
3460,Axwell,0,0,0,1,0,0,0,1,0,0
3461,Ian Carey,0,0,0,0,0,0,0,1,0,0
3462,Jack White & Alicia Keys,1,0,0,0,0,0,0,0,1,0
3463,Rank 1,0,0,0,0,0,0,0,1,0,0
3464,Matt Nathanson,1,0,1,0,1,0,0,0,0,0
3465,Frank Turner,0,0,0,0,1,0,0,0,0,0
3466,The Holloways,0,0,0,0,1,0,0,0,0,0
3467,Howie Day,1,1,1,0,1,0,0,0,1,0
3468,Get Cape. Wear Cape. Fly,0,0,0,0,1,0,0,0,0,0
3469,Empire of the Sun,0,1,0,1,1,0,0,1,0,0
3470,Elastica,1,0,1,0,1,1,0,0,1,0
3471,The Black Ghosts,0,1,0,1,0,0,0,1,0,0
3472,Goldfinger,1,0,0,0,0,0,0,0,1,0
3473,Suicidal Tendencies,1,0,0,0,0,0,0,0,0,0
3474,Transplants,0,0,0,0,0,0,0,0,1,0
3475,Relespública,1,0,0,0,0,0,0,0,0,0
3476,Jay Sean,0,1,0,0,0,0,0,0,0,0
3477,Wall of Voodoo,0,0,1,1,0,0,1,0,0,0
3478,Fad Gadget,0,0,1,1,1,0,1,0,0,0
3479,Boytronic,0,0,0,1,0,0,1,0,0,0
3480,Pete Shelley,0,0,0,1,0,0,1,0,0,0
3481,The Icicle Works,0,0,1,0,0,0,1,0,0,0
3482,Blancmange,0,0,0,1,0,0,1,0,0,0
3483,Brigitte Bardot,0,0,0,0,0,1,0,0,0,0
3484,Oh Land,0,0,0,0,0,1,0,0,0,0
3485,Zaza Fournier,0,0,1,0,0,0,0,0,0,0
3486,Madeleine Peyroux,0,0,0,0,0,1,0,0,0,0
3487,Eiffel,1,0,0,0,0,0,0,0,0,0
3488,Madsen,1,0,0,0,0,0,0,0,0,0
3489,Маша и Медведи,1,0,0,0,0,1,0,0,0,0
3490,Polvo,0,0,1,0,1,0,0,0,0,0
3491,Shellac,1,0,1,0,1,0,0,0,0,0
3492,Slint,0,0,1,0,1,0,0,0,0,0
3493,Amusement Parks on Fire,0,0,1,0,1,0,0,0,0,0
3494,Efterklang,0,0,0,1,1,0,0,0,0,0
3495,Igorrr,0,0,0,1,0,0,0,0,0,0
3496,Glenn Branca,0,0,1,0,0,0,0,0,0,0
3497,Scratch Acid,0,0,1,0,0,0,1,0,0,0
3498,Vanilla Ninja,0,1,0,0,0,1,0,0,0,0
3499,Zac Efron,0,1,0,0,0,0,0,0,0,0
3500,Troy & Gabriella,0,1,0,0,0,0,0,1,0,0
3501,K's Choice,1,0,1,0,0,1,0,0,1,0
3502,Fountains of Wayne,1,1,0,0,1,0,0,0,1,0
3503,Meat Puppets,0,0,1,0,0,0,0,0,1,0
3504,Buffalo Springfield,1,0,0,0,0,0,0,0,0,1
3505,Inmigrantes,1,0,1,0,1,0,0,0,0,0
3506,Corrosion of Conformity,1,0,0,0,0,0,0,0,0,0
3507,Liam Lynch,0,0,1,0,0,0,0,0,0,0
3508,Judy Garland,0,0,0,0,0,1,0,0,0,0
3509,Espers,0,0,0,0,1,0,0,0,0,0
3510,Kay Starr,0,0,0,0,0,1,0,0,0,0
3511,frYars,0,0,0,1,0,0,0,0,0,0
3512,Reni Jusis,0,0,0,1,0,1,0,1,0,0
3513,Ana Johnsson,0,0,0,0,0,1,0,0,0,0
3514,Lillix,1,1,0,0,0,1,0,0,0,0
3515,Luka,0,1,0,0,0,1,0,0,0,0
3516,Danni Carlos,1,1,1,0,0,1,0,0,0,0
3517,Detektivbyrån,0,0,0,0,1,0,0,0,0,0
3518,Slander Fall,0,0,0,1,0,0,0,0,0,0
3519,LFO,0,0,0,1,0,0,0,1,0,0
3520,Polygon Window,0,0,0,1,0,0,0,0,0,0
3521,Com Truise,0,0,0,1,0,0,0,0,0,0
3522,Kashmir Boots,0,0,0,1,0,0,0,0,0,0
3523,Luke Vibert,0,0,0,1,0,0,0,0,0,0
3524,Hell Interface,0,0,0,1,0,0,0,0,0,0
3525,Chris Garneau,0,0,1,0,0,0,0,0,0,0
3526,Karen O and the Kids,0,0,0,0,1,1,0,0,0,0
3527,Bond,0,1,0,1,0,0,0,0,0,0
3528,Jesus Was Homeless,0,0,0,0,0,0,0,0,1,0
3529,Faderhead,0,0,0,1,0,0,0,0,0,0
3530,KLOQ,0,0,0,1,0,0,0,0,0,0
3531,The Whip,0,0,0,1,1,0,0,1,0,0
3532,Wast3,0,0,0,1,0,0,0,0,0,0
3533,T. Raumschmiere,0,0,0,1,0,0,0,0,0,0
3534,autoclav1.1,0,0,0,1,0,0,0,0,0,0
3535,Destroid,0,0,0,1,0,0,0,0,0,0
3536,Paul Weller,1,0,1,0,1,0,1,0,0,0
3537,Yatu,1,1,0,0,0,0,0,0,0,0
3538,Café Tacuba,1,0,1,1,0,0,0,0,0,0
3539,Los Fabulosos Cadillacs,0,0,1,0,0,0,0,0,0,0
3540,Sinéad O'Connor,1,0,1,0,0,1,0,0,0,0
3541,La Vida Bohème,0,0,0,0,1,0,0,0,0,0
3542,Los Rodríguez,1,0,0,0,0,0,0,0,0,0
3543,La Misma Gente,1,0,0,0,0,0,0,0,0,0
3544,The English Beat,0,0,0,0,0,0,1,0,0,0
3545,Orchestra Baobab,0,0,0,0,0,0,1,0,0,0
3546,King Sunny Ade,0,0,0,0,0,0,1,0,0,0
3547,Rokia Traoré,0,0,0,0,0,1,0,0,0,0
3548,Youssou N'Dour,0,1,0,0,0,0,0,0,0,0
3549,Angélique Kidjo,0,0,0,0,0,1,0,0,0,0
3550,Mory Kanté,0,1,0,1,0,0,1,1,0,0
3551,李玟,0,0,0,0,0,1,0,1,0,0
3552,비,0,1,0,0,0,0,0,0,0,0
3553,Jarabe de Palo,1,0,0,0,0,0,0,0,0,0
3554,The Presidents of the United States of America,1,0,1,0,1,0,0,0,1,0
3555,Mina,0,1,0,0,0,1,0,0,0,0
3556,Celtas Cortos,1,1,0,0,0,0,0,0,0,0
3557,Naomi Yohani,0,0,0,0,0,1,0,0,0,0
3558,CKY,1,0,1,0,0,0,0,0,1,0
3559,Bullets and Octane,1,0,0,0,0,0,0,0,0,0
3560,Биопсихоз,0,0,1,0,0,0,0,0,0,0
3561,Mudvayne,1,0,1,0,1,0,0,0,0,0
3562,Tocotronic,0,0,1,0,1,0,0,0,0,0
3563,Anna Ternheim,0,1,0,0,1,1,0,0,0,0
3564,Tomte,0,0,0,0,1,0,0,0,0,0
3565,Whitey,0,0,0,1,1,0,0,0,0,0
3566,Beatsteaks,1,0,1,0,0,0,0,0,0,0
3567,Thomas Dybdahl,0,0,0,0,1,0,0,0,0,0
3568,"Blod, snått & juling",0,0,1,0,0,0,0,0,0,0
3569,Amanda Jenssen,0,0,1,0,0,1,0,0,0,0
3570,I Blame Coco,0,1,0,1,1,1,0,0,0,0
